welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Folk/indie,post_survey.question1.Ambient,post_survey.question1.Classic rock,post_survey.question1.Country,post_survey.question1.Hip hop,post_survey.question1.R&B,post_survey.question1.Disco,post_survey.question1.Jazz,post_survey.question1.Classical,post_survey.question1.Alternative rock,post_survey.question1.Latin,post_survey.question1.Reggae,post_survey.question1.Metal,post_survey.question1.A cappella,post_survey.question1.Electronic (EDM),post_survey.question1.Pop,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223.8132,1230.5071,0.109259288,-0.086111104,1.0,0.0,0.0,0.6832,compass,0.0,14.0,14.0,22.0,1.0,SoundStimuli/RockWithYou_MichaelJackson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230.5129,1239.9567,0.029629672,-0.027777778,1.0,0.0,0.0,3.4335,compass,0.0,15.0,15.0,15.0,1.0,SoundStimuli/TikTok_Kesha_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1239.9651,1247.7062,-0.041666667,0.080555563,1.0,0.0,0.0,1.7333,compass,0.0,16.0,16.0,6.0,1.0,SoundStimuli/Levitating_DuaLipa_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1247.7127,1254.9561,0.185185185,0.162037037,1.0,0.0,0.0,1.233,compass,0.0,17.0,17.0,18.0,1.0,SoundStimuli/AnotherOneBitesTheDust_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254.9627,1264.8061,-0.020370342,-0.283333319,1.0,0.0,0.0,3.8337,compass,0.0,18.0,18.0,31.0,1.0,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264.8122,1272.0395,0.131481524,0.114814794,1.0,0.0,0.0,1.2168,compass,0.0,19.0,19.0,1.0,1.0,SoundStimuli/Stronger_KanyeWest_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272.0452,1278.789,0.123148176,0.116666653,1.0,0.0,0.0,0.7329,compass,0.0,20.0,20.0,4.0,1.0,SoundStimuli/GetUrFreakOn_MissyElliot_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.7956,1285.7389,0.123148176,0.116666653,1.0,0.0,0.0,0.9334,compass,0.0,21.0,21.0,0.0,1.0,SoundStimuli/StayinAlive_BeeGees_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285.7449,1293.6894,0.167592578,0.185185185,1.0,0.0,0.0,1.9334,compass,0.0,22.0,22.0,3.0,1.0,SoundStimuli/NoScrubs_TLC_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293.7049,1303.3224,0.095370399,-0.106481481,1.0,0.0,0.0,3.6165,compass,0.0,23.0,23.0,33.0,1.0,SoundStimuli/StandByMe_BenEKing_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
