welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Disco,post_survey.question1.Metal,post_survey.question1.Alternative rock,post_survey.question1.Country,post_survey.question1.Jazz,post_survey.question1.Ambient,post_survey.question1.Classic rock,post_survey.question1.A cappella,post_survey.question1.Folk/indie,post_survey.question1.Hip hop,post_survey.question1.Latin,post_survey.question1.Classical,post_survey.question1.R&B,post_survey.question1.Pop,post_survey.question1.Reggae,post_survey.question1.Electronic (EDM),post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.9719,713.4149,0.161111111,-0.160185199,1.0,0.0,0.0,0.433,compass,0.0,19.0,19.0,34.0,1.0,SoundStimuli/AChangeIsGonnaCome_SamCooke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.4367,720.8459,0.188888889,-0.137037065,1.0,0.0,0.0,1.3993,compass,0.0,20.0,20.0,22.0,1.0,SoundStimuli/RockWithYou_MichaelJackson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.8593,727.8281,-0.196296268,0.137962935,1.0,0.0,0.0,0.9602,compass,0.0,21.0,21.0,6.0,1.0,SoundStimuli/Levitating_DuaLipa_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.8475,735.2266,0.160185242,0.208333333,1.0,0.0,0.0,1.3661,compass,0.0,22.0,22.0,21.0,1.0,SoundStimuli/GoodGollyMissMolly_LittleRichard_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735.2504,742.3084,-0.192592578,-0.19629631,1.0,0.0,0.0,1.05,compass,0.0,23.0,23.0,16.0,1.0,SoundStimuli/BohemianRhapsody_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742.3289,748.8904,-0.181481467,-0.144444444,1.0,0.0,0.0,0.5497,compass,0.0,24.0,24.0,13.0,1.0,SoundStimuli/GodOnlyKnows_TheBeachBoys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.9175,755.4225,0.160185242,0.215740734,1.0,0.0,0.0,0.4996,compass,0.0,25.0,25.0,14.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755.4509,761.9878,0.265740797,0.209259245,1.0,0.0,0.0,0.5333,compass,0.0,26.0,26.0,7.0,1.0,SoundStimuli/NoOne_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.0158,768.5197,0.159259288,-0.25648151,1.0,0.0,0.0,0.4993,compass,0.0,27.0,27.0,5.0,1.0,SoundStimuli/MyGirl_TheTemptations_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768.5513,775.2517,0.200925954,-0.151851866,1.0,0.0,0.0,0.6995,compass,0.0,28.0,28.0,19.0,1.0,SoundStimuli/LetsGetItOn_MarvinGaye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
