welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.A cappella,post_survey.question1.Pop,post_survey.question1.R&B,post_survey.question1.Disco,post_survey.question1.Electronic (EDM),post_survey.question1.Ambient,post_survey.question1.Latin,post_survey.question1.Country,post_survey.question1.Classic rock,post_survey.question1.Classical,post_survey.question1.Reggae,post_survey.question1.Hip hop,post_survey.question1.Metal,post_survey.question1.Alternative rock,post_survey.question1.Jazz,post_survey.question1.Folk/indie,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,136759,1,2024-07-12_17h33.11.350,experiment,2024.1.5,Win32,59.95203837,6691931c2c63981b064e1f0c,6691aefc0a86d780d3c3ea61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403.36,1410.325,0.12962963,0.131481481,1.0,0.0,0.0,0.95,compass,0.0,24.0,24.0,20.0,1.0,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,136759,1,2024-07-12_17h33.11.350,experiment,2024.1.5,Win32,59.95203837,6691931c2c63981b064e1f0c,6691aefc0a86d780d3c3ea61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410.326,1418.825,0.163888889,-0.030555556,1.0,0.0,0.0,2.483,compass,0.0,25.0,25.0,5.0,1.0,SoundStimuli/JoyToTheWorld_ThreeDogNight_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,136759,1,2024-07-12_17h33.11.350,experiment,2024.1.5,Win32,59.95203837,6691931c2c63981b064e1f0c,6691aefc0a86d780d3c3ea61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1418.826,1424.992,0.221296296,0.039814815,1.0,0.0,0.0,0.151,compass,0.0,26.0,26.0,11.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,136759,1,2024-07-12_17h33.11.350,experiment,2024.1.5,Win32,59.95203837,6691931c2c63981b064e1f0c,6691aefc0a86d780d3c3ea61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424.992,1433.092,0.330555556,-0.184259259,1.0,0.0,0.0,2.084,compass,0.0,27.0,27.0,19.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,136759,1,2024-07-12_17h33.11.350,experiment,2024.1.5,Win32,59.95203837,6691931c2c63981b064e1f0c,6691aefc0a86d780d3c3ea61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433.097,1441.641,-0.019444444,-0.158333333,1.0,0.0,0.0,2.534,compass,0.0,28.0,28.0,6.0,1.0,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,136759,1,2024-07-12_17h33.11.350,experiment,2024.1.5,Win32,59.95203837,6691931c2c63981b064e1f0c,6691aefc0a86d780d3c3ea61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1441.642,1448.407,0.035185185,0.025,1.0,0.0,0.0,0.75,compass,0.0,29.0,29.0,24.0,1.0,SoundStimuli/Kiss_Prince_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,136759,1,2024-07-12_17h33.11.350,experiment,2024.1.5,Win32,59.95203837,6691931c2c63981b064e1f0c,6691aefc0a86d780d3c3ea61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448.408,1456.307,-0.276851852,-0.223148148,1.0,0.0,0.0,1.883,compass,0.0,30.0,30.0,30.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,136759,1,2024-07-12_17h33.11.350,experiment,2024.1.5,Win32,59.95203837,6691931c2c63981b064e1f0c,6691aefc0a86d780d3c3ea61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456.308,1465.658,0.125,0.119444444,1.0,0.0,0.0,3.348,compass,0.0,31.0,31.0,10.0,1.0,SoundStimuli/LeFreak_Chic_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,136759,1,2024-07-12_17h33.11.350,experiment,2024.1.5,Win32,59.95203837,6691931c2c63981b064e1f0c,6691aefc0a86d780d3c3ea61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465.659,1474.991,0.030555556,-0.25462963,1.0,0.0,0.0,3.317,compass,0.0,32.0,32.0,32.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,136759,1,2024-07-12_17h33.11.350,experiment,2024.1.5,Win32,59.95203837,6691931c2c63981b064e1f0c,6691aefc0a86d780d3c3ea61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474.991,1484.291,0.000925926,-0.111111111,1.0,0.0,0.0,3.284,compass,0.0,33.0,33.0,15.0,1.0,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,136759,1,2024-07-12_17h33.11.350,experiment,2024.1.5,Win32,59.95203837,6691931c2c63981b064e1f0c,6691aefc0a86d780d3c3ea61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484.291,1490.791,0.17037037,-0.001851852,1.0,0.0,0.0,0.498,compass,0.0,34.0,34.0,13.0,1.0,SoundStimuli/Perfect_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,136759,1,2024-07-12_17h33.11.350,experiment,2024.1.5,Win32,59.95203837,6691931c2c63981b064e1f0c,6691aefc0a86d780d3c3ea61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490.791,1490.792,,,,1490.792,1490.792,,,,0.0,3.0,3.0,3.0,1.0,block_order/blockD.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,136759,1,2024-07-12_17h33.11.350,experiment,2024.1.5,Win32,59.95203837,6691931c2c63981b064e1f0c,6691aefc0a86d780d3c3ea61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,Item 2,I've toyed around with experimental electronic. None of it was any good.,Item 4,"Youtube, sometimes car radio",5.0,6.0,doomscrolling,Never,Rarely,Never,Never,Often,Often,Never,Never,Rarely,Rarely,Never,Sometimes,Often,Rarely,Never,Rarely,"breakcore, witch house, wave, lofi, drum and bass, jungle, japanoise, dungeon synth (all of which could technically fit into electronic)",witch house,wave,DnB,"I used to mostly listen to metal, then I got old.",I listen as the mood strikes.,0.0,0.0,0.0,0.0,1.0,,
,,,,,136759,1,2024-07-12_17h33.11.350,experiment,2024.1.5,Win32,59.95203837,6691931c2c63981b064e1f0c,6691aefc0a86d780d3c3ea61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1837.153,1839.302
