welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Pop,post_survey.question1.Folk/indie,post_survey.question1.Hip hop,post_survey.question1.Disco,post_survey.question1.Classic rock,post_survey.question1.Country,post_survey.question1.Jazz,post_survey.question1.Classical,post_survey.question1.R&B,post_survey.question1.Electronic (EDM),post_survey.question1.Metal,post_survey.question1.A cappella,post_survey.question1.Reggae,post_survey.question1.Alternative rock,post_survey.question1.Ambient,post_survey.question1.Latin,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1038.7157,1046.7133,0.266666695,-0.220370399,1.0,0.0,0.0,1.9835,compass,0.0,28.0,28.0,28.0,1.0,SoundStimuli/IWantToHoldYourHand_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046.7203,1054.1186,0.26944443,-0.271296325,1.0,0.0,0.0,1.3923,compass,0.0,29.0,29.0,4.0,1.0,SoundStimuli/Dreams_FleetwoodMac_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054.1188,1060.829,-0.087037051,-0.071296303,1.0,0.0,0.0,0.6989,compass,0.0,30.0,30.0,9.0,1.0,SoundStimuli/HowDoILive_LeAnnRimes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.8341,1067.6291,0.175925926,-0.194444444,1.0,0.0,0.0,0.7832,compass,0.0,31.0,31.0,25.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067.6354,1074.7261,0.145370413,-0.186111097,1.0,0.0,0.0,1.0791,compass,0.0,32.0,32.0,8.0,1.0,SoundStimuli/EndlessLove_DianaRossLionelRichie_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074.7327,1082.9271,0.214814857,0.190740727,1.0,0.0,0.0,2.1846,compass,0.0,33.0,33.0,32.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082.936,1089.8624,-0.068518533,-0.074074074,1.0,0.0,0.0,0.9199,compass,0.0,34.0,34.0,13.0,1.0,SoundStimuli/Perfect_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089.8625,1090.6783,space,0.7995,,1090.6784,1093.1953,right,2.4997,,0.0,2.0,2.0,2.0,1.0,block_order/blockD.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093.2054,1099.6159,0.047222208,-0.047222243,0.0,0.0,1.0,0.4037,compass,0.0,0.0,0.0,5.0,1.0,SoundStimuli/MyGirl_TheTemptations_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,711879,1,2024-07-12_18h37.22.395,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691aff8296090677dd3d9f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099.6231,1105.9799,0.282407407,0.274074078,1.0,0.0,0.0,0.3511,compass,0.0,1.0,1.0,26.0,1.0,SoundStimuli/LivinOnAPrayer_BonJovi_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
