welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.listen_time,post_survey.medium,post_survey.music_making,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classical,post_survey.question1.Disco,post_survey.question1.Classic rock,post_survey.question1.Reggae,post_survey.question1.A cappella,post_survey.question1.Country,post_survey.question1.Hip hop,post_survey.question1.Ambient,post_survey.question1.Electronic (EDM),post_survey.question1.Metal,post_survey.question1.Alternative rock,post_survey.question1.Latin,post_survey.question1.R&B,post_survey.question1.Folk/indie,post_survey.question1.Jazz,post_survey.question1.Pop,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.4285,288.2471,0.193814464,0.30180412,1.0,0.0,0.0,6.8105,compass,0.0,4.0,4.0,29.0,1.0,SoundStimuli/BetteDavisEyes_KimCarnes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.2489,294.3142,0.212371118,-0.173453655,1.0,0.0,0.0,0.0521,compass,0.0,5.0,5.0,19.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.318,302.1712,0.255670135,-0.07551555,1.0,0.0,0.0,1.8338,compass,0.0,6.0,6.0,25.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.1739,308.3487,-0.159793814,-0.268298985,1.0,0.0,0.0,0.168,compass,0.0,7.0,7.0,21.0,1.0,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.3499,318.1341,0.178350547,0.136855647,1.0,0.0,0.0,3.7774,compass,0.0,8.0,8.0,9.0,1.0,SoundStimuli/HowDoILive_LeAnnRimes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.1351,325.0817,0.217525757,-0.225000047,1.0,0.0,0.0,0.9356,compass,0.0,9.0,9.0,5.0,1.0,SoundStimuli/JoyToTheWorld_ThreeDogNight_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.0841,331.1051,0.217525757,-0.225000047,1.0,0.0,0.0,0.0163,compass,0.0,10.0,10.0,12.0,1.0,SoundStimuli/UnbreakMyHeart_ToniBraxton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.1098,337.2902,-0.131958716,0.179123711,1.0,0.0,0.0,0.1664,compass,0.0,11.0,11.0,32.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.2913,347.8738,0.222680397,-0.22087632,1.0,0.0,0.0,4.5714,compass,0.0,12.0,12.0,6.0,1.0,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519625,1,2024-07-13_00h34.31.525,experiment,2024.1.5,Win32,58.82352941,6691931c2c63981b064e1f0c,6691bd2536bed8eb2b8fdc35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.8781,354.5497,-0.110309247,0.220360825,1.0,0.0,0.0,0.6659,compass,0.0,13.0,13.0,8.0,1.0,SoundStimuli/EndlessLove_DianaRossLionelRichie_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
