welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.music_making,post_survey.question1.A cappella,post_survey.question1.Classic rock,post_survey.question1.Disco,post_survey.question1.Latin,post_survey.question1.Electronic (EDM),post_survey.question1.R&B,post_survey.question1.Jazz,post_survey.question1.Classical,post_survey.question1.Country,post_survey.question1.Ambient,post_survey.question1.Reggae,post_survey.question1.Alternative rock,post_survey.question1.Metal,post_survey.question1.Folk/indie,post_survey.question1.Pop,post_survey.question1.Hip hop,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.3708,444.6827,-0.165277778,0.158333333,1.0,0.0,0.0,8.3079,compass,0.0,13.0,13.0,1.0,1.0,SoundStimuli/Smooth_SantanaRobThomas_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.6865,455.7795,0.066666667,0.256944444,1.0,0.0,0.0,5.0898,compass,0.0,14.0,14.0,31.0,1.0,SoundStimuli/TossinAndTurnin_BobbyLewis_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.7831,467.6054,-0.136111111,0.073611111,1.0,0.0,0.0,5.8178,compass,0.0,15.0,15.0,20.0,1.0,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.609,479.8996,-0.159027778,-0.21875,1.0,0.0,0.0,6.2885,compass,0.0,16.0,16.0,19.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.9033,486.9993,0.165972222,-0.145138889,1.0,0.0,0.0,1.0925,compass,0.0,17.0,17.0,16.0,1.0,SoundStimuli/ItsAllInTheGame_TommyEdwards_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.0027,496.4226,-0.305555556,-0.300694444,1.0,0.0,0.0,3.4176,compass,0.0,18.0,18.0,9.0,1.0,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.4265,506.7237,-0.171527778,0.130555556,1.0,0.0,0.0,4.2942,compass,0.0,19.0,19.0,34.0,1.0,SoundStimuli/Irreplaceable_Beyonce_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.7274,522.0042,0.211111111,-0.214583333,1.0,0.0,0.0,9.2763,compass,0.0,20.0,20.0,13.0,1.0,SoundStimuli/Perfect_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.0082,529.1191,0.185416667,-0.190972222,1.0,0.0,0.0,1.1051,compass,0.0,21.0,21.0,8.0,1.0,SoundStimuli/EndlessLove_DianaRossLionelRichie_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.1228,538.4859,-0.091666667,0.058333333,1.0,0.0,0.0,3.363,compass,0.0,22.0,22.0,24.0,1.0,SoundStimuli/Kiss_Prince_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.4899,545.111,-0.174305556,-0.147916667,1.0,0.0,0.0,0.618,compass,0.0,23.0,23.0,33.0,1.0,SoundStimuli/TheBoyIsMine_BrandyMonica_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.1145,551.64,-0.215277778,-0.209027778,1.0,0.0,0.0,0.525,compass,0.0,24.0,24.0,28.0,1.0,SoundStimuli/IWantToHoldYourHand_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
