welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Metal,post_survey.question1.Ambient,post_survey.question1.Latin,post_survey.question1.Pop,post_survey.question1.Jazz,post_survey.question1.Country,post_survey.question1.Reggae,post_survey.question1.Disco,post_survey.question1.Classical,post_survey.question1.Hip hop,post_survey.question1.Alternative rock,post_survey.question1.Classic rock,post_survey.question1.Folk/indie,post_survey.question1.R&B,post_survey.question1.Electronic (EDM),post_survey.question1.A cappella,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.5976,483.4354,0.251851852,0.133333333,1.0,0.0,0.0,1.8332,compass,0.0,29.0,29.0,31.0,1.0,SoundStimuli/TossinAndTurnin_BobbyLewis_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.4463,491.3024,0.207407407,-0.225925926,1.0,0.0,0.0,1.8503,compass,0.0,30.0,30.0,16.0,1.0,SoundStimuli/ItsAllInTheGame_TommyEdwards_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.3142,498.1686,0.248148148,0.233333333,1.0,0.0,0.0,0.8497,compass,0.0,31.0,31.0,11.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.1763,505.1354,0.216666667,0.096296296,1.0,0.0,0.0,0.9503,compass,0.0,32.0,32.0,1.0,1.0,SoundStimuli/Smooth_SantanaRobThomas_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.145,511.7852,-0.253703704,-0.227777778,1.0,0.0,0.0,0.6334,compass,0.0,33.0,33.0,30.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.7961,518.6688,0.187962963,-0.201851852,1.0,0.0,0.0,0.8671,compass,0.0,34.0,34.0,4.0,1.0,SoundStimuli/Dreams_FleetwoodMac_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.6782,523.8189,space,5.13,,523.8191,530.5027,right,6.6671,,0.0,0.0,0.0,0.0,1.0,block_order/blockD.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.5156,537.4351,0.243518519,0.112962963,1.0,0.0,0.0,0.9166,compass,0.0,0.0,0.0,1.0,1.0,SoundStimuli/Stronger_KanyeWest_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.4453,543.9019,0.243518519,0.113888889,1.0,0.0,0.0,0.4498,compass,0.0,1.0,1.0,21.0,1.0,SoundStimuli/GoodGollyMissMolly_LittleRichard_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.9098,550.4351,-0.257407407,-0.268518519,1.0,0.0,0.0,0.5167,compass,0.0,2.0,2.0,10.0,1.0,SoundStimuli/BadDay_DanielPowter_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
