welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Electronic (EDM),post_survey.question1.Latin,post_survey.question1.Classical,post_survey.question1.Reggae,post_survey.question1.Hip hop,post_survey.question1.A cappella,post_survey.question1.Pop,post_survey.question1.Metal,post_survey.question1.Country,post_survey.question1.Ambient,post_survey.question1.Folk/indie,post_survey.question1.Alternative rock,post_survey.question1.Jazz,post_survey.question1.Disco,post_survey.question1.R&B,post_survey.question1.Classic rock,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806.1236,812.4464,0.266484375,0.277934028,1.0,0.0,0.0,0.3165,compass,0.0,16.0,16.0,8.0,1.0,SoundStimuli/LikeAPrayer_Madonna_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.4566,818.7631,0.324661458,0.331032986,1.0,0.0,0.0,0.2998,compass,0.0,17.0,17.0,25.0,1.0,SoundStimuli/Respect_ArethaFranklin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818.7733,824.9635,0.325568576,0.332638889,1.0,0.0,0.0,0.1844,compass,0.0,18.0,18.0,14.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.9746,831.3635,0.104830729,-0.130659722,1.0,0.0,0.0,0.384,compass,0.0,19.0,19.0,20.0,1.0,SoundStimuli/HeyYa_Outkast_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831.3741,837.747,0.248220486,0.22703125,1.0,0.0,0.0,0.3673,compass,0.0,20.0,20.0,28.0,1.0,SoundStimuli/ComeAndGetYourLove_Redbone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837.7562,843.8804,0.164965278,0.24358941,1.0,0.0,0.0,0.1161,compass,0.0,21.0,21.0,34.0,1.0,SoundStimuli/AChangeIsGonnaCome_SamCooke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843.8894,850.3142,0.270486111,0.284678819,1.0,0.0,0.0,0.4175,compass,0.0,22.0,22.0,0.0,1.0,SoundStimuli/StayinAlive_BeeGees_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.3234,856.731,0.096592882,-0.070247396,1.0,0.0,0.0,0.4,compass,0.0,23.0,23.0,5.0,1.0,SoundStimuli/MyGirl_TheTemptations_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.7415,863.0469,0.313446181,0.322278646,1.0,0.0,0.0,0.2991,compass,0.0,24.0,24.0,30.0,1.0,SoundStimuli/PokerFace_LadyGaga_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863.0566,869.3968,0.150911458,-0.222330729,1.0,0.0,0.0,0.3328,compass,0.0,25.0,25.0,17.0,1.0,SoundStimuli/Fallin_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
