welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.listen_time,post_survey.music_making,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.A cappella,post_survey.question1.Latin,post_survey.question1.R&B,post_survey.question1.Classic rock,post_survey.question1.Ambient,post_survey.question1.Reggae,post_survey.question1.Metal,post_survey.question1.Pop,post_survey.question1.Jazz,post_survey.question1.Electronic (EDM),post_survey.question1.Folk/indie,post_survey.question1.Hip hop,post_survey.question1.Disco,post_survey.question1.Classical,post_survey.question1.Country,post_survey.question1.Alternative rock,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.5813,249.2182,-0.222222222,0.198148134,1.0,0.0,0.0,0.631,compass,0.0,6.0,6.0,7.0,1.0,SoundStimuli/MackTheKnife_BobbyDarin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.2305,255.6509,-0.163888889,-0.158333333,1.0,0.0,0.0,0.4174,compass,0.0,7.0,7.0,21.0,1.0,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.6626,262.0495,0.152777778,0.121296268,1.0,0.0,0.0,0.381,compass,0.0,8.0,8.0,11.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0617,268.4512,0.086111111,-0.15648151,1.0,0.0,0.0,0.3856,compass,0.0,9.0,9.0,18.0,1.0,SoundStimuli/Weak_SWV_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.4665,275.0644,-0.139814758,-0.116666667,1.0,0.0,0.0,0.5807,compass,0.0,10.0,10.0,16.0,1.0,SoundStimuli/ItsAllInTheGame_TommyEdwards_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0761,281.2137,0.178703732,0.162037023,1.0,0.0,0.0,0.1332,compass,0.0,11.0,11.0,17.0,1.0,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.2258,287.5807,0.178703732,0.162037023,1.0,0.0,0.0,0.3502,compass,0.0,12.0,12.0,22.0,1.0,SoundStimuli/Happy_PharellWilliams_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.5923,294.0118,0.161111111,-0.232407464,1.0,0.0,0.0,0.4166,compass,0.0,13.0,13.0,25.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.0233,300.7772,-0.294444444,-0.123148176,1.0,0.0,0.0,0.7498,compass,0.0,14.0,14.0,6.0,1.0,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.7889,308.9598,-0.147222222,0.200925912,1.0,0.0,0.0,2.1662,compass,0.0,15.0,15.0,26.0,1.0,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
