welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classic rock,post_survey.question1.Latin,post_survey.question1.Metal,post_survey.question1.Pop,post_survey.question1.Ambient,post_survey.question1.Electronic (EDM),post_survey.question1.R&B,post_survey.question1.Alternative rock,post_survey.question1.A cappella,post_survey.question1.Country,post_survey.question1.Reggae,post_survey.question1.Hip hop,post_survey.question1.Classical,post_survey.question1.Disco,post_survey.question1.Jazz,post_survey.question1.Folk/indie,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,775549,1,2024-07-12_19h19.01.215,experiment,2024.1.5,Win32,144.9275362,6691931c2c63981b064e1f0c,6691b86bf6ae03b54151c579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.5947,571.7447,0.131481481,-0.083333333,1.0,0.0,0.0,7.1472,compass,0.0,28.0,28.0,31.0,1.0,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775549,1,2024-07-12_19h19.01.215,experiment,2024.1.5,Win32,144.9275362,6691931c2c63981b064e1f0c,6691b86bf6ae03b54151c579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.7504,590.6926,0.166666667,0.063888889,1.0,0.0,0.0,12.9399,compass,0.0,29.0,29.0,14.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775549,1,2024-07-12_19h19.01.215,experiment,2024.1.5,Win32,144.9275362,6691931c2c63981b064e1f0c,6691b86bf6ae03b54151c579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.6976,603.3962,0.22962963,0.099074074,1.0,0.0,0.0,6.6957,compass,0.0,30.0,30.0,18.0,1.0,SoundStimuli/AnotherOneBitesTheDust_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775549,1,2024-07-12_19h19.01.215,experiment,2024.1.5,Win32,144.9275362,6691931c2c63981b064e1f0c,6691b86bf6ae03b54151c579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.4014,629.4074,,,,,,,,0.0,31.0,31.0,16.0,1.0,SoundStimuli/BohemianRhapsody_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775549,1,2024-07-12_19h19.01.215,experiment,2024.1.5,Win32,144.9275362,6691931c2c63981b064e1f0c,6691b86bf6ae03b54151c579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.4124,638.5687,-0.113888889,0.216666667,1.0,0.0,0.0,3.1535,compass,0.0,32.0,32.0,6.0,1.0,SoundStimuli/Levitating_DuaLipa_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775549,1,2024-07-12_19h19.01.215,experiment,2024.1.5,Win32,144.9275362,6691931c2c63981b064e1f0c,6691b86bf6ae03b54151c579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.5737,646.4174,0.196296296,0.17037037,1.0,0.0,0.0,1.8406,compass,0.0,33.0,33.0,30.0,1.0,SoundStimuli/PokerFace_LadyGaga_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775549,1,2024-07-12_19h19.01.215,experiment,2024.1.5,Win32,144.9275362,6691931c2c63981b064e1f0c,6691b86bf6ae03b54151c579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.4223,654.3633,0.212037037,-0.218518519,1.0,0.0,0.0,1.938,compass,0.0,34.0,34.0,32.0,1.0,SoundStimuli/HeatWaves_GlassAnimals_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775549,1,2024-07-12_19h19.01.215,experiment,2024.1.5,Win32,144.9275362,6691931c2c63981b064e1f0c,6691b86bf6ae03b54151c579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.3691,856.85,space,202.4743,,856.85,863.3857,right,6.5292,,0.0,0.0,0.0,0.0,1.0,block_order/blockA.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775549,1,2024-07-12_19h19.01.215,experiment,2024.1.5,Win32,144.9275362,6691931c2c63981b064e1f0c,6691b86bf6ae03b54151c579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863.3955,870.4565,0.237962963,-0.173148148,1.0,0.0,0.0,1.0561,compass,0.0,0.0,0.0,18.0,1.0,SoundStimuli/Weak_SWV_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775549,1,2024-07-12_19h19.01.215,experiment,2024.1.5,Win32,144.9275362,6691931c2c63981b064e1f0c,6691b86bf6ae03b54151c579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.4627,878.458,0.1,-0.125925926,1.0,0.0,0.0,1.9936,compass,0.0,1.0,1.0,15.0,1.0,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
