welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Electronic (EDM),post_survey.question1.Reggae,post_survey.question1.Country,post_survey.question1.Metal,post_survey.question1.Ambient,post_survey.question1.Pop,post_survey.question1.Hip hop,post_survey.question1.A cappella,post_survey.question1.Jazz,post_survey.question1.Classical,post_survey.question1.Alternative rock,post_survey.question1.R&B,post_survey.question1.Disco,post_survey.question1.Latin,post_survey.question1.Classic rock,post_survey.question1.Folk/indie,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,160159,1,2024-07-12_19h20.54.026,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691ba09250cdadffd5d9dba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.4042,341.7631,0.024109639,0.031780797,1.0,0.0,0.0,1.3505,compass,0.0,5.0,5.0,3.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,160159,1,2024-07-12_19h20.54.026,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691ba09250cdadffd5d9dba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.7709,348.5159,0.17863017,-0.169863014,1.0,0.0,0.0,0.7338,compass,0.0,6.0,6.0,32.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,160159,1,2024-07-12_19h20.54.026,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691ba09250cdadffd5d9dba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.5234,356.7026,-0.249862964,0.055890394,1.0,0.0,0.0,2.1677,compass,0.0,7.0,7.0,5.0,1.0,SoundStimuli/JoyToTheWorld_ThreeDogNight_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,160159,1,2024-07-12_19h20.54.026,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691ba09250cdadffd5d9dba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.7111,363.2045,0.153424658,-0.15890411,1.0,0.0,0.0,0.4835,compass,0.0,8.0,8.0,7.0,1.0,SoundStimuli/MackTheKnife_BobbyDarin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,160159,1,2024-07-12_19h20.54.026,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691ba09250cdadffd5d9dba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.2122,370.7573,0.108493167,0.024109556,1.0,0.0,0.0,1.5338,compass,0.0,9.0,9.0,1.0,1.0,SoundStimuli/Smooth_SantanaRobThomas_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,160159,1,2024-07-12_19h20.54.026,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691ba09250cdadffd5d9dba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.7646,377.2263,0.244383595,0.269589045,1.0,0.0,0.0,0.4495,compass,0.0,10.0,10.0,15.0,1.0,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,160159,1,2024-07-12_19h20.54.026,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691ba09250cdadffd5d9dba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.2343,384.5459,-0.030684881,-0.181917833,1.0,0.0,0.0,1.3007,compass,0.0,11.0,11.0,19.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,160159,1,2024-07-12_19h20.54.026,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691ba09250cdadffd5d9dba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.5538,391.1482,0.277260307,0.326575345,1.0,0.0,0.0,0.5837,compass,0.0,12.0,12.0,11.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,160159,1,2024-07-12_19h20.54.026,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691ba09250cdadffd5d9dba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.156,397.284,0.053698647,0.028493134,1.0,0.0,0.0,0.1167,compass,0.0,13.0,13.0,12.0,1.0,SoundStimuli/UnbreakMyHeart_ToniBraxton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,160159,1,2024-07-12_19h20.54.026,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691ba09250cdadffd5d9dba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.2914,404.1031,0.107397294,0.116164367,1.0,0.0,0.0,0.8004,compass,0.0,14.0,14.0,22.0,1.0,SoundStimuli/Happy_PharellWilliams_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
