welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.R&B,post_survey.question1.Metal,post_survey.question1.Alternative rock,post_survey.question1.Classic rock,post_survey.question1.Latin,post_survey.question1.Electronic (EDM),post_survey.question1.Ambient,post_survey.question1.Folk/indie,post_survey.question1.Disco,post_survey.question1.A cappella,post_survey.question1.Classical,post_survey.question1.Pop,post_survey.question1.Reggae,post_survey.question1.Country,post_survey.question1.Hip hop,post_survey.question1.Jazz,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,476463,1,2024-07-12_17h32.57.532,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691adf251430e598bc008ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788.7828,798.8916,-0.171875,-0.131510417,1.0,0.0,0.0,4.0936,compass,0.0,18.0,18.0,34.0,1.0,SoundStimuli/Irreplaceable_Beyonce_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,476463,1,2024-07-12_17h32.57.532,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691adf251430e598bc008ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.8993,806.878,-0.178385417,0.18359375,1.0,0.0,0.0,1.9636,compass,0.0,19.0,19.0,28.0,1.0,SoundStimuli/IWantToHoldYourHand_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,476463,1,2024-07-12_17h32.57.532,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691adf251430e598bc008ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806.8863,813.3507,-0.08984375,-0.122395833,1.0,0.0,0.0,0.449,compass,0.0,20.0,20.0,6.0,1.0,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,476463,1,2024-07-12_17h32.57.532,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691adf251430e598bc008ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813.3586,819.4738,0.166666667,-0.138020833,1.0,0.0,0.0,0.1003,compass,0.0,21.0,21.0,9.0,1.0,SoundStimuli/HowDoILive_LeAnnRimes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,476463,1,2024-07-12_17h32.57.532,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691adf251430e598bc008ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819.4821,825.7964,-0.169270833,-0.16015625,1.0,0.0,0.0,0.2998,compass,0.0,22.0,22.0,20.0,1.0,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,476463,1,2024-07-12_17h32.57.532,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691adf251430e598bc008ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.804,832.2522,-0.170572917,-0.147135417,1.0,0.0,0.0,0.4328,compass,0.0,23.0,23.0,10.0,1.0,SoundStimuli/LeFreak_Chic_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,476463,1,2024-07-12_17h32.57.532,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691adf251430e598bc008ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.2607,838.6917,0.149739583,-0.1328125,1.0,0.0,0.0,0.4161,compass,0.0,24.0,24.0,8.0,1.0,SoundStimuli/EndlessLove_DianaRossLionelRichie_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,476463,1,2024-07-12_17h32.57.532,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691adf251430e598bc008ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838.7002,844.7647,-0.19140625,0.1796875,1.0,0.0,0.0,0.05,compass,0.0,25.0,25.0,2.0,1.0,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,476463,1,2024-07-12_17h32.57.532,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691adf251430e598bc008ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.7751,851.1211,-0.220052083,-0.13671875,1.0,0.0,0.0,0.3333,compass,0.0,26.0,26.0,12.0,1.0,SoundStimuli/UnbreakMyHeart_ToniBraxton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,476463,1,2024-07-12_17h32.57.532,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691adf251430e598bc008ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851.1298,860.5884,-0.184895833,-0.149739583,1.0,0.0,0.0,3.4444,compass,0.0,27.0,27.0,32.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,476463,1,2024-07-12_17h32.57.532,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691adf251430e598bc008ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.5973,869.1074,-0.186197917,-0.147135417,1.0,0.0,0.0,2.4958,compass,0.0,28.0,28.0,7.0,1.0,SoundStimuli/MackTheKnife_BobbyDarin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,476463,1,2024-07-12_17h32.57.532,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691adf251430e598bc008ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869.117,882.6016,-0.177083333,-0.145833333,1.0,0.0,0.0,7.4708,compass,0.0,29.0,29.0,18.0,1.0,SoundStimuli/Weak_SWV_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
