welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Ambient,post_survey.question1.Disco,post_survey.question1.Alternative rock,post_survey.question1.Jazz,post_survey.question1.Metal,post_survey.question1.Pop,post_survey.question1.A cappella,post_survey.question1.Reggae,post_survey.question1.Hip hop,post_survey.question1.Folk/indie,post_survey.question1.R&B,post_survey.question1.Electronic (EDM),post_survey.question1.Latin,post_survey.question1.Classical,post_survey.question1.Country,post_survey.question1.Classic rock,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.8274,957.1675,-0.139814801,0.127777771,1.0,0.0,0.0,1.3265,compass,0.0,16.0,16.0,14.0,1.0,SoundStimuli/LikeARollingStone_BobDylan_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957.176,963.6165,-0.157407407,0.160185178,1.0,0.0,0.0,0.4334,compass,0.0,17.0,17.0,33.0,1.0,SoundStimuli/TheBoyIsMine_BrandyMonica_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963.6249,970.1191,0.150925954,0.169444437,1.0,0.0,0.0,0.4805,compass,0.0,18.0,18.0,5.0,1.0,SoundStimuli/JoyToTheWorld_ThreeDogNight_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970.1276,976.9644,-0.210185157,-0.166666667,1.0,0.0,0.0,0.8331,compass,0.0,19.0,19.0,4.0,1.0,SoundStimuli/Dreams_FleetwoodMac_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976.9728,984.5501,-0.136111083,0.1324074,1.0,0.0,0.0,1.5633,compass,0.0,20.0,20.0,24.0,1.0,SoundStimuli/Kiss_Prince_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984.5585,991.379,-0.152777778,0.174999979,1.0,0.0,0.0,0.8099,compass,0.0,21.0,21.0,7.0,1.0,SoundStimuli/MackTheKnife_BobbyDarin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991.3876,999.8112,-0.187962921,-0.193518533,1.0,0.0,0.0,2.4166,compass,0.0,22.0,22.0,21.0,1.0,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999.8202,1007.3338,0.150000042,0.181481467,1.0,0.0,0.0,1.5001,compass,0.0,23.0,23.0,11.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007.3433,1014.3258,0.180555556,-0.176851838,1.0,0.0,0.0,0.9632,compass,0.0,24.0,24.0,19.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014.3344,1024.7147,-0.115740741,-0.125,1.0,0.0,0.0,4.3733,compass,0.0,25.0,25.0,9.0,1.0,SoundStimuli/HowDoILive_LeAnnRimes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
