welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classical,post_survey.question1.A cappella,post_survey.question1.Metal,post_survey.question1.Disco,post_survey.question1.Folk/indie,post_survey.question1.Latin,post_survey.question1.Alternative rock,post_survey.question1.Electronic (EDM),post_survey.question1.Reggae,post_survey.question1.Classic rock,post_survey.question1.Hip hop,post_survey.question1.Ambient,post_survey.question1.Jazz,post_survey.question1.Country,post_survey.question1.Pop,post_survey.question1.R&B,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011.1397,1017.4016,0.169089988,-0.178367332,1.0,0.0,0.0,0.2501,compass,0.0,31.0,31.0,5.0,1.0,SoundStimuli/JoyToTheWorld_ThreeDogNight_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.4109,1023.7346,0.183242911,0.11531033,1.0,0.0,0.0,0.3168,compass,0.0,32.0,32.0,3.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023.7429,1029.768,-0.151703559,-0.208405671,1.0,0.0,0.0,0.0162,compass,0.0,33.0,33.0,7.0,1.0,SoundStimuli/MackTheKnife_BobbyDarin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029.7775,1036.2187,-0.190556279,-0.23817636,1.0,0.0,0.0,0.4335,compass,0.0,34.0,34.0,28.0,1.0,SoundStimuli/IWantToHoldYourHand_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036.2188,1038.3019,space,2.0671,,1038.3019,1040.9517,right,2.6353,,0.0,2.0,2.0,2.0,1.0,block_order/blockB.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.9658,1047.3181,-0.180855758,-0.180389178,1.0,0.0,0.0,0.3489,compass,0.0,0.0,0.0,29.0,1.0,SoundStimuli/OldTownRoad_LilNasX_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047.327,1053.3517,0.282646123,-0.24478805,1.0,0.0,0.0,0.0159,compass,0.0,1.0,1.0,9.0,1.0,SoundStimuli/Despacito_LuisFonsiDaddyYankee_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053.3594,1060.0021,0.005985966,-0.201338252,1.0,0.0,0.0,0.6334,compass,0.0,2.0,2.0,17.0,1.0,SoundStimuli/Fallin_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.0099,1071.0523,-0.096495226,-0.250860822,1.0,0.0,0.0,5.0334,compass,0.0,3.0,3.0,19.0,1.0,SoundStimuli/LetsGetItOn_MarvinGaye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071.0603,1077.9858,0.160322627,0.189973958,1.0,0.0,0.0,0.9169,compass,0.0,4.0,4.0,1.0,1.0,SoundStimuli/Stronger_KanyeWest_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077.9938,1084.0185,-0.244046586,0.192075376,1.0,0.0,0.0,0.0162,compass,0.0,5.0,5.0,6.0,1.0,SoundStimuli/Levitating_DuaLipa_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084.0265,1092.6027,-0.166713686,0.194708478,1.0,0.0,0.0,2.5668,compass,0.0,6.0,6.0,24.0,1.0,SoundStimuli/UptownFunk_MarkRonson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092.6111,1099.0188,0.188389757,0.148564091,1.0,0.0,0.0,0.3994,compass,0.0,7.0,7.0,3.0,1.0,SoundStimuli/NoScrubs_TLC_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099.0284,1105.3359,0.061244936,-0.137691696,1.0,0.0,0.0,0.2997,compass,0.0,8.0,8.0,12.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105.3441,1111.7359,0.118786169,0.160731337,1.0,0.0,0.0,0.3829,compass,0.0,9.0,9.0,27.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111.744,1118.0698,-0.201902488,-0.124811921,1.0,0.0,0.0,0.3175,compass,0.0,10.0,10.0,2.0,1.0,SoundStimuli/Mood_24kGoldnianndior_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1118.0784,1124.2358,-0.135091146,-0.199898727,1.0,0.0,0.0,0.1492,compass,0.0,11.0,11.0,26.0,1.0,SoundStimuli/LivinOnAPrayer_BonJovi_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1124.2447,1130.4362,0.17145544,-0.116898148,1.0,0.0,0.0,0.1829,compass,0.0,12.0,12.0,7.0,1.0,SoundStimuli/NoOne_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130.4439,1136.9197,0.179622396,-0.201898872,1.0,0.0,0.0,0.4671,compass,0.0,13.0,13.0,28.0,1.0,SoundStimuli/ComeAndGetYourLove_Redbone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136.9281,1143.7194,0.180443432,-0.207635272,1.0,0.0,0.0,0.7833,compass,0.0,14.0,14.0,5.0,1.0,SoundStimuli/MyGirl_TheTemptations_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1143.7285,1150.6527,0.157682292,-0.195243779,0.0,0.0,1.0,0.9159,compass,0.0,15.0,15.0,31.0,1.0,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150.653,1156.7526,-0.236548756,-0.196853299,1.0,0.0,1.0,0.0834,compass,0.0,16.0,16.0,10.0,1.0,SoundStimuli/BadDay_DanielPowter_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44945,1,2024-07-12_16h24.52.249,experiment,2024.1.5,MacIntel,63.69426752,6691931c2c63981b064e1f0c,6691bb1313c778c35283e6d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156.7613,1163.0694,-0.236548756,-0.198195168,1.0,0.0,1.0,0.2993,compass,0.0,17.0,17.0,20.0,1.0,SoundStimuli/HeyYa_Outkast_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
