welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Hip hop,post_survey.question1.Ambient,post_survey.question1.R&B,post_survey.question1.Alternative rock,post_survey.question1.Disco,post_survey.question1.Folk/indie,post_survey.question1.Classic rock,post_survey.question1.Metal,post_survey.question1.Classical,post_survey.question1.Jazz,post_survey.question1.A cappella,post_survey.question1.Electronic (EDM),post_survey.question1.Reggae,post_survey.question1.Country,post_survey.question1.Pop,post_survey.question1.Latin,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.8359,435.8625,-0.187777778,0.155555556,1.0,0.0,0.0,3.0132,compass,0.0,6.0,6.0,0.0,1.0,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.8721,444.053,0.144444444,0.158888889,1.0,0.0,0.0,2.1643,compass,0.0,7.0,7.0,30.0,1.0,SoundStimuli/PokerFace_LadyGaga_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.0642,458.5699,0.248888889,0.297777778,1.0,0.0,0.0,8.4901,compass,0.0,8.0,8.0,21.0,1.0,SoundStimuli/GoodGollyMissMolly_LittleRichard_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.5793,465.145,0.273333333,0.281111111,1.0,0.0,0.0,0.5493,compass,0.0,9.0,9.0,14.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.1541,471.5544,-0.207777778,-0.228888889,1.0,0.0,0.0,0.3983,compass,0.0,10.0,10.0,3.0,1.0,SoundStimuli/NoScrubs_TLC_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.5626,478.6797,0.167777778,-0.184444444,1.0,0.0,0.0,1.1152,compass,0.0,11.0,11.0,17.0,1.0,SoundStimuli/Fallin_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.6888,494.5779,0.191111111,-0.215555556,1.0,0.0,0.0,9.8886,compass,0.0,12.0,12.0,27.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.5883,504.65,-0.217777778,-0.206666667,1.0,0.0,0.0,4.0454,compass,0.0,13.0,13.0,10.0,1.0,SoundStimuli/BadDay_DanielPowter_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.6688,510.8256,0.278888889,-0.275555556,1.0,0.0,0.0,0.1494,compass,0.0,14.0,14.0,22.0,1.0,SoundStimuli/RockWithYou_MichaelJackson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.8353,517.2558,-0.171111111,0.135555556,1.0,0.0,0.0,0.4201,compass,0.0,15.0,15.0,1.0,1.0,SoundStimuli/Stronger_KanyeWest_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
