welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Reggae,post_survey.question1.Disco,post_survey.question1.Hip hop,post_survey.question1.Folk/indie,post_survey.question1.Metal,post_survey.question1.Electronic (EDM),post_survey.question1.Latin,post_survey.question1.Alternative rock,post_survey.question1.Country,post_survey.question1.R&B,post_survey.question1.Classic rock,post_survey.question1.Classical,post_survey.question1.A cappella,post_survey.question1.Ambient,post_survey.question1.Jazz,post_survey.question1.Pop,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,901377,1,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.3459,770.8194,0.26944443,-0.227777764,1.0,0.0,0.0,0.4088,compass,0.0,32.0,32.0,17.0,1.0,SoundStimuli/Fallin_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,1,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.825,777.5585,-0.243518476,-0.157407407,1.0,0.0,0.0,0.7244,compass,0.0,33.0,33.0,34.0,1.0,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,1,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777.5644,784.0182,0.07222225,0.232407411,1.0,0.0,0.0,0.3999,compass,0.0,34.0,34.0,30.0,1.0,SoundStimuli/PokerFace_LadyGaga_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,1,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.0184,785.369,space,1.2732,,785.3691,789.0744,right,3.6156,9.99999e-05,0.0,1.0,1.0,1.0,1.0,block_order/blockC.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,1,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789.0837,795.6388,0.299074102,-0.168518561,1.0,0.0,0.0,0.5059,compass,0.0,0.0,0.0,19.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,1,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795.6443,803.0357,0.341666751,-0.079629651,1.0,0.0,0.0,1.315,compass,0.0,1.0,1.0,3.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,1,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803.0413,809.5452,-0.282407407,-0.10555557,1.0,0.0,0.0,0.4188,compass,0.0,2.0,2.0,30.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,1,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.5525,816.6695,0.33148151,-0.034259266,1.0,0.0,0.0,1.0271,compass,0.0,3.0,3.0,1.0,1.0,SoundStimuli/Smooth_SantanaRobThomas_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,1,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816.6754,823.144,-0.308333326,0.099074081,1.0,0.0,0.0,0.4362,compass,0.0,4.0,4.0,0.0,1.0,SoundStimuli/GimmeShelter_RollingStones_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,1,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823.1498,829.6447,-0.304629608,-0.057407414,1.0,0.0,0.0,0.4067,compass,0.0,5.0,5.0,6.0,1.0,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,1,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.6507,836.4831,0.260185171,-0.137037065,1.0,0.0,0.0,0.8177,compass,0.0,6.0,6.0,23.0,1.0,SoundStimuli/IWalkTheLine_JohnnyCash_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,1,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.4893,843.0091,0.330555527,-0.154629672,1.0,0.0,0.0,0.5184,compass,0.0,7.0,7.0,14.0,1.0,SoundStimuli/LikeARollingStone_BobDylan_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,1,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843.0145,849.532,0.337962963,-0.241666653,1.0,0.0,0.0,0.5089,compass,0.0,8.0,8.0,25.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,1,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849.538,856.9387,0.124074088,-0.190740727,1.0,0.0,0.0,1.3301,compass,0.0,9.0,9.0,4.0,1.0,SoundStimuli/Dreams_FleetwoodMac_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,1,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.9459,863.9138,0.280555584,0.158333319,1.0,0.0,0.0,0.9071,compass,0.0,10.0,10.0,5.0,1.0,SoundStimuli/JoyToTheWorld_ThreeDogNight_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,1,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863.9202,870.4512,0.332407492,0.058333326,1.0,0.0,0.0,0.5054,compass,0.0,11.0,11.0,26.0,1.0,SoundStimuli/TheSign_AceOfBase_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,1,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.4571,877.0795,0.341666751,-0.295370384,1.0,0.0,0.0,0.6045,compass,0.0,12.0,12.0,17.0,1.0,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
