welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Folk/indie,post_survey.question1.Hip hop,post_survey.question1.Metal,post_survey.question1.Classical,post_survey.question1.Ambient,post_survey.question1.A cappella,post_survey.question1.Latin,post_survey.question1.Jazz,post_survey.question1.Electronic (EDM),post_survey.question1.R&B,post_survey.question1.Pop,post_survey.question1.Disco,post_survey.question1.Reggae,post_survey.question1.Alternative rock,post_survey.question1.Classic rock,post_survey.question1.Country,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,560951,1,2024-07-12_17h38.52.125,experiment,2024.1.5,MacIntel,64.1025641,6691931c2c63981b064e1f0c,6691b0571030406d5f22485f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.0149,255.5519,0.17023173,0.170545756,1.0,0.0,0.0,0.533,compass,0.0,6.0,6.0,1.0,1.0,SoundStimuli/Smooth_SantanaRobThomas_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,560951,1,2024-07-12_17h38.52.125,experiment,2024.1.5,MacIntel,64.1025641,6691931c2c63981b064e1f0c,6691b0571030406d5f22485f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.5679,262.7861,0.161258545,-0.16822659,1.0,0.0,0.0,1.217,compass,0.0,7.0,7.0,3.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,560951,1,2024-07-12_17h38.52.125,experiment,2024.1.5,MacIntel,64.1025641,6691931c2c63981b064e1f0c,6691b0571030406d5f22485f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.7986,270.3363,0.165812717,0.162791951,1.0,0.0,0.0,1.5324,compass,0.0,8.0,8.0,26.0,1.0,SoundStimuli/TheSign_AceOfBase_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,560951,1,2024-07-12_17h38.52.125,experiment,2024.1.5,MacIntel,64.1025641,6691931c2c63981b064e1f0c,6691b0571030406d5f22485f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.3483,278.0368,-0.129860162,-0.089464518,1.0,0.0,0.0,1.6819,compass,0.0,9.0,9.0,23.0,1.0,SoundStimuli/IWalkTheLine_JohnnyCash_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,560951,1,2024-07-12_17h38.52.125,experiment,2024.1.5,MacIntel,64.1025641,6691931c2c63981b064e1f0c,6691b0571030406d5f22485f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.0494,285.321,-0.20053087,-0.188499891,1.0,0.0,0.0,1.2666,compass,0.0,10.0,10.0,9.0,1.0,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,560951,1,2024-07-12_17h38.52.125,experiment,2024.1.5,MacIntel,64.1025641,6691931c2c63981b064e1f0c,6691b0571030406d5f22485f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.3373,293.5553,0.145718519,0.134438816,1.0,0.0,0.0,2.2174,compass,0.0,11.0,11.0,24.0,1.0,SoundStimuli/Kiss_Prince_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,560951,1,2024-07-12_17h38.52.125,experiment,2024.1.5,MacIntel,64.1025641,6691931c2c63981b064e1f0c,6691b0571030406d5f22485f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.5698,301.1882,0.139024455,0.162117513,1.0,0.0,0.0,1.6155,compass,0.0,12.0,12.0,7.0,1.0,SoundStimuli/MackTheKnife_BobbyDarin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,560951,1,2024-07-12_17h38.52.125,experiment,2024.1.5,MacIntel,64.1025641,6691931c2c63981b064e1f0c,6691b0571030406d5f22485f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.2005,308.4058,0.125295342,-0.036993747,1.0,0.0,0.0,1.1995,compass,0.0,13.0,13.0,16.0,1.0,SoundStimuli/ItsAllInTheGame_TommyEdwards_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,560951,1,2024-07-12_17h38.52.125,experiment,2024.1.5,MacIntel,64.1025641,6691931c2c63981b064e1f0c,6691b0571030406d5f22485f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.4178,315.0075,-0.111572876,-0.020379028,1.0,0.0,0.0,0.585,compass,0.0,14.0,14.0,21.0,1.0,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,560951,1,2024-07-12_17h38.52.125,experiment,2024.1.5,MacIntel,64.1025641,6691931c2c63981b064e1f0c,6691b0571030406d5f22485f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.021,322.3068,0.08308431,0.154002414,1.0,0.0,0.0,1.2824,compass,0.0,15.0,15.0,34.0,1.0,SoundStimuli/Irreplaceable_Beyonce_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
