welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classical,post_survey.question1.Country,post_survey.question1.Alternative rock,post_survey.question1.Jazz,post_survey.question1.Classic rock,post_survey.question1.R&B,post_survey.question1.Electronic (EDM),post_survey.question1.A cappella,post_survey.question1.Folk/indie,post_survey.question1.Pop,post_survey.question1.Latin,post_survey.question1.Hip hop,post_survey.question1.Disco,post_survey.question1.Reggae,post_survey.question1.Ambient,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.1015,569.3891,0.223602484,0.066459627,1.0,0.0,0.0,1.2852,compass,0.0,4.0,4.0,4.0,1.0,SoundStimuli/Dreams_FleetwoodMac_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.3966,579.8256,0.217391304,0.316149068,1.0,0.0,0.0,4.4218,compass,0.0,5.0,5.0,27.0,1.0,SoundStimuli/EyeOfTheTiger_Survivor_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.8348,589.2933,0.105590062,-0.242857143,1.0,0.0,0.0,3.4534,compass,0.0,6.0,6.0,32.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.3009,598.3103,0.166459627,-0.236645963,1.0,0.0,0.0,3.0019,compass,0.0,7.0,7.0,30.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.3187,604.5722,0.124223602,0.321118012,1.0,0.0,0.0,0.2468,compass,0.0,8.0,8.0,17.0,1.0,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.5809,611.1881,-0.22484472,0.218012422,1.0,0.0,0.0,0.6042,compass,0.0,9.0,9.0,0.0,1.0,SoundStimuli/GimmeShelter_RollingStones_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.1975,620.8192,0.105590062,0.189440994,1.0,0.0,0.0,3.603,compass,0.0,10.0,10.0,26.0,1.0,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.8267,629.1351,-0.240993789,-0.096273292,1.0,0.0,0.0,2.3015,compass,0.0,11.0,11.0,13.0,1.0,SoundStimuli/Perfect_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.1451,640.84,0.211180124,0.222981366,1.0,0.0,0.0,5.6934,compass,0.0,12.0,12.0,28.0,1.0,SoundStimuli/IWantToHoldYourHand_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640.8464,649.6233,-0.227329193,0.262732919,1.0,0.0,0.0,2.7678,compass,0.0,13.0,13.0,2.0,1.0,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
