welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Disco,post_survey.question1.Folk/indie,post_survey.question1.Latin,post_survey.question1.Classical,post_survey.question1.Pop,post_survey.question1.A cappella,post_survey.question1.R&B,post_survey.question1.Alternative rock,post_survey.question1.Ambient,post_survey.question1.Jazz,post_survey.question1.Metal,post_survey.question1.Hip hop,post_survey.question1.Classic rock,post_survey.question1.Country,post_survey.question1.Electronic (EDM),post_survey.question1.Reggae,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311.753,1318.0337,-0.168138021,0.14984809,1.0,0.0,0.0,0.2724,compass,0.0,22.0,22.0,7.0,1.0,SoundStimuli/MackTheKnife_BobbyDarin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318.0383,1325.8171,0.055221354,-0.24859809,1.0,0.0,0.0,1.7729,compass,0.0,23.0,23.0,18.0,1.0,SoundStimuli/Weak_SWV_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325.822,1332.105,0.126966146,0.237291667,1.0,0.0,0.0,0.2698,compass,0.0,24.0,24.0,0.0,1.0,SoundStimuli/GimmeShelter_RollingStones_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1332.1099,1338.3695,0.18483941,0.182847222,1.0,0.0,0.0,0.2487,compass,0.0,25.0,25.0,1.0,1.0,SoundStimuli/Smooth_SantanaRobThomas_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338.3741,1344.8801,0.148402778,-0.227217882,1.0,0.0,0.0,0.5044,compass,0.0,26.0,26.0,25.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.8849,1352.386,-0.103077257,-0.272374132,1.0,0.0,0.0,1.4963,compass,0.0,27.0,27.0,8.0,1.0,SoundStimuli/EndlessLove_DianaRossLionelRichie_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352.3909,1360.3406,-0.055533854,0.047508681,1.0,0.0,0.0,1.9484,compass,0.0,28.0,28.0,33.0,1.0,SoundStimuli/TheBoyIsMine_BrandyMonica_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360.3454,1367.0632,-0.17343316,0.050013021,1.0,0.0,0.0,0.7135,compass,0.0,29.0,29.0,15.0,1.0,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367.068,1373.3934,0.272881944,0.261766493,1.0,0.0,0.0,0.3071,compass,0.0,30.0,30.0,3.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373.3981,1379.8328,0.072621528,0.296809896,1.0,0.0,0.0,0.4249,compass,0.0,31.0,31.0,27.0,1.0,SoundStimuli/EyeOfTheTiger_Survivor_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379.8377,1386.3566,0.094852431,-0.095772569,1.0,0.0,0.0,0.5045,compass,0.0,32.0,32.0,20.0,1.0,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1386.3613,1392.7476,0.32093316,-0.317955729,1.0,0.0,0.0,0.3676,compass,0.0,33.0,33.0,19.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1392.7526,1400.7761,-0.264244792,-0.26969184,1.0,0.0,0.0,2.0043,compass,0.0,34.0,34.0,12.0,1.0,SoundStimuli/UnbreakMyHeart_ToniBraxton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.781,1400.781,,,,1400.7811,1400.7811,,,,0.0,3.0,3.0,3.0,1.0,block_order/blockD.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,Item 1,"Classically trained ballerina, pianist from age 7-16",Item 6,Spotify,2.0,6.0,"Driving, exercising, hanging out, studying, working",Rarely,Often,Never,Rarely,Always,Never,Always,Sometimes,Rarely,Rarely,Never,Always,Often,Rarely,Sometimes,Sometimes,,Hip Hop,R&B,Classic rock,I listen more frequently now than I did when I was younger,No,0.0,0.0,0.0,0.0,1.0,,
,,,,,851807,1,2024-07-12_18h28.28.695,experiment,2024.1.5,MacIntel,59.88023952,6691931c2c63981b064e1f0c,6691adde6d14fd83c2a18c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536.9913,1539.1448
