welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Reggae,post_survey.question1.Alternative rock,post_survey.question1.Ambient,post_survey.question1.Jazz,post_survey.question1.Folk/indie,post_survey.question1.Electronic (EDM),post_survey.question1.Country,post_survey.question1.Metal,post_survey.question1.Hip hop,post_survey.question1.Classical,post_survey.question1.Latin,post_survey.question1.Classic rock,post_survey.question1.R&B,post_survey.question1.Pop,post_survey.question1.Disco,post_survey.question1.A cappella,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190.931,1198.5644,-0.005092593,-0.010185185,1.0,0.0,0.0,1.6333,compass,0.0,24.0,24.0,21.0,1.0,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198.5689,1206.5311,0.127314815,0.068981481,1.0,0.0,0.0,1.9586,compass,0.0,25.0,25.0,26.0,1.0,SoundStimuli/TheSign_AceOfBase_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1206.5356,1213.3392,-0.110648148,0.206944444,1.0,0.0,0.0,0.7999,compass,0.0,26.0,26.0,12.0,1.0,SoundStimuli/UnbreakMyHeart_ToniBraxton_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213.3437,1222.4725,-0.152314815,-0.024537037,1.0,0.0,0.0,3.121,compass,0.0,27.0,27.0,17.0,1.0,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222.477,1230.4429,-0.090277778,0.027314815,1.0,0.0,0.0,1.9619,compass,0.0,28.0,28.0,0.0,1.0,SoundStimuli/GimmeShelter_RollingStones_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230.4474,1236.5889,0.186111111,0.065740741,1.0,0.0,0.0,0.1377,compass,0.0,29.0,29.0,27.0,1.0,SoundStimuli/EyeOfTheTiger_Survivor_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236.5934,1245.0307,-0.088888889,-0.024074074,1.0,0.0,0.0,2.4297,compass,0.0,30.0,30.0,9.0,1.0,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245.0354,1255.464,0.174074074,-0.03287037,1.0,0.0,0.0,4.4213,compass,0.0,31.0,31.0,25.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255.4688,1261.8426,0.223148148,0.093981481,1.0,0.0,0.0,0.3703,compass,0.0,32.0,32.0,32.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1261.847,1268.3553,-0.2125,-0.022222222,1.0,0.0,0.0,0.5082,compass,0.0,33.0,33.0,7.0,1.0,SoundStimuli/MackTheKnife_BobbyDarin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
