Submission id,,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at,exp_id2,exp_id1,internal_id
63f67fc50252f9bc0958b33f,,APPROVED,2023-02-22T20:49:13Z,2023-02-22T21:55:53Z,2023-02-22T23:23:34Z,2023-02-22T21:55:54Z,4000,CQXVLPYN,467,23,Female,White,United States,United States,United States,English,No,Full-Time,NA,605963,598330,21
63f6808ab13eaae1d44cca06,,APPROVED,2023-02-22T20:52:31Z,2023-02-22T21:50:36Z,2023-02-22T23:23:34Z,2023-02-22T21:50:36Z,3485,CQXVLPYN,593,31,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking),NA,605965,598323,22
63f68090562944e6ebf09bf7,,APPROVED,2023-02-22T20:52:36Z,2023-02-22T21:33:23Z,2023-02-22T23:23:34Z,2023-02-22T21:33:24Z,2448,CQXVLPYN,1284,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,605966,598281,23
63f680bb0a63a7e431815231,,APPROVED,2023-02-22T20:53:23Z,2023-02-23T13:43:23Z,2023-02-23T13:43:23Z,NA,60601,Manual Completion,1744,33,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable,605967,598008,24
63f6819037617bbee241a67c,,APPROVED,2023-02-22T20:56:51Z,2023-02-22T21:56:33Z,2023-02-22T23:23:35Z,2023-02-22T21:56:33Z,3582,CQXVLPYN,214,25,Male,Asian,United States,United States,United States,English,Yes,Part-Time,NA,605974,598428,25
63f6828bb0c1a5013399baed,,APPROVED,2023-02-22T21:01:02Z,2023-02-22T21:46:36Z,2023-02-22T23:23:35Z,2023-02-22T21:46:36Z,2734,CQXVLPYN,2107,21,Female,White,United States,United States,United States,English,Yes,Part-Time,NA,605975,598203,26
63f66ccb9c231c87ab41a667,,APPROVED,2023-02-22T19:36:22Z,2023-02-22T21:44:28Z,2023-02-22T23:23:33Z,2023-02-22T21:44:28Z,7686,CQXVLPYN,3317,37,Male,White,United States,United States,United States,English,No,Full-Time,NA,605977,598300,27
63f68ceefd1d5f194040e4be,,APPROVED,2023-02-22T21:45:22Z,2023-02-22T23:17:15Z,2023-02-22T23:23:35Z,2023-02-22T23:17:15Z,5513,CQXVLPYN,800,25,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,NA,605992,598264,28
63f685e09234d0aed30f0e8e,,APPROVED,2023-02-22T21:15:22Z,2023-02-22T22:44:05Z,2023-02-22T23:23:35Z,2023-02-22T22:44:06Z,5324,CQXVLPYN,319,39,Male,White,United States,United States,United States,English,No,Full-Time,NA,605980,598311,29
63f687dd2b683a30c6b11770,,APPROVED,2023-02-22T21:23:59Z,2023-02-22T22:17:03Z,2023-02-22T23:23:35Z,2023-02-22T22:17:03Z,3184,CQXVLPYN,607,34,Female,White,United States,United States,United States,English,No,Part-Time,NA,605983,598178,30
