internal_id,song_id,age_at_event_orig,age_at_event_cover,association_orig,association_cover,control_orig,control_cover,memory_orig,memory_cover,description_orig,description_cover,emot_content_orig,emot_content_cover,emot_intensity_orig,emot_intensity_cover,energetic_orig,energetic_cover,experience_orig,experience_cover,familiarity_orig,familiarity_cover,important_orig,important_cover,preference_orig,preference_cover,social_orig,social_cover,unique_orig,unique_cover,vivid_orig,vivid_cover
87,2016_5,20,31,I associate it was 27-30,27-33,somewhat deliberate,completely spontaneous,TRUE,TRUE,Lying on my bed when I was 29 and listening to this song on my Alexa.,"I remember that I was having a conversation at an event and explaining why I liked this song, which was the wordplay concerning ""we all would take the ladder (latter""",somewhat positive,somewhat positive,somewhat,extremely,not at all,somewhat,I really liked this song and have it on many of my playlists.,"I've been listening to this song since it first came out. I think it's pretty catchy instrument-wise, and the lyrics are extremely relatable. I love the main singer of 21 Pilots' voice. I've seen the music video countless times.",extremely,extremely,not at all,not at all,love it!,love it!,not at all,very,not at all,somewhat,somewhat,somewhat
87,2017_1,32,29,27-33,28-30,completely spontaneous,completely spontaneous,TRUE,TRUE,I remember this song playing when I was having sex with a guy I met at a bar.,I had sex with some guy to this song and it was really good.,very positive,very positive,very,extremely,extremely,extremely,"I hated it at first, but then I grew to like it because the lyrics hit home.",I used to keep this on a playlist of sex songs.,extremely,extremely,a little,a little,a lot,love it!,very,extremely,somewhat,not at all,extremely,very
87,2017_2,27,25,27-30,26-30,completely spontaneous,completely spontaneous,TRUE,TRUE,At my old house working on my laptop and this song came on,"I was working for a machine learning company and they had to record people answering prompts, and the people kept asking for this song so I had to listen to it maybe 20 times a day for a while when we were on that project.",neutral,neutral,somewhat,a little,very,a little,I really liked this song when it came out and listened to it quite often for many months.,"I do actually like this song, I just didn't enjoy it as much when I was forced against my will to listen to it so many times. I do prefer the Luis Fonsi version to the Justin Bieber one, because Fonsi is a great artist and the song should just be in Spanish.",extremely,extremely,somewhat,a little,love it!,a lot,not at all,not at all,not at all,extremely,somewhat,extremely
87,2017_3,32,NA,30-33,n/a,completely spontaneous,NA,TRUE,FALSE,My mom was driving home from Walmart and this song came on.,NA,neutral,NA,not at all,NA,not at all,NA,"I never added it to playlists or thought about it much. It's just a song that sometimes comes on and I'll listen to it cuz it's fun, but I dont like it enough to make it a favorite.","I think that this song is by Bruno Mars and I think it sounds nice enough, but never been something I've sought out.",very,somewhat,not at all,NA,somewhat,a little,a little,NA,not at all,NA,somewhat,NA
87,2017_4,32,NA,30-33,29-30,completely spontaneous,NA,TRUE,FALSE,I was hanging out with my friend and we were smoking weed and blasting this song and it was really awesome.,NA,very positive,NA,extremely,NA,a little,NA,I love Kendrick Lamar and this song is dope as hell! I have it on a bunch of playlists because it slaps.,"My son started listening to it, so I kinda started liking it and added it to my playlist for car rides.",extremely,somewhat,not at all,NA,love it!,a lot,very,NA,not at all,NA,extremely,NA
87,2017_5,29,29,29,29-32,completely spontaneous,completely spontaneous,TRUE,TRUE,I was visiting a friend in Florida and we were driving in his truck and dueting this song.,"I was with this guy I was dating in Florida, and it was pitch black out and we were driving from Tallahassee to Orlando that night, and we were dueting this song and I thought that was kinda romantic.",somewhat positive,somewhat positive,very,extremely,very,very,"I listen to this a lot on my own, and it comes on the radio. I think the lyrics were super relevant at the time when I sang it with that guy, which is why the memory stuck.",I never even really liked this song that much until that night when I sang it with that guy. That gave it a different perspective and so I started listening to it a lot on Spotify and Youtube.,extremely,extremely,somewhat,somewhat,a lot,love it!,somewhat,extremely,very,extremely,extremely,extremely
87,2018_4,29,29,29-31,29-31,completely spontaneous,somewhat deliberate,TRUE,TRUE,"My mother loves this song, so we were in her car driving somewhere and she blasted it.",driving to the store with my mom listening to this song,somewhat positive,somewhat positive,very,very,very,somewhat,I've heard it in English and Spanish enough times to know it by heart. It's on my current main music playlist on YouTube Music and I love listening to it and dancing.,it was my mother's favorite song for a while so we listened to it a lot,extremely,extremely,not at all,a little,love it!,somewhat,somewhat,somewhat,not at all,not at all,extremely,a little
87,2019_1,29,29,Ages 29-33 I guess.,29-30,completely spontaneous,completely spontaneous,TRUE,TRUE,"I was visiting a friend in Florida, and he was at work so I was watching tv and this song was being discussed on the news because it had just come out.",I was visiting my friend in Florida and waiting for him to get out of work and this song was on the TV.,somewhat negative,somewhat negative,very,very,not at all,a little,"I think it's a fun song. I like Lil Nas X's other songs better, because they're more sexual and raunchy. I don't mind listening to this one though. I appreciate it for being the genre-bending hit it was at the time.","It blew up around the time I went to Florida, but I was very meh about the whole thing. It was okay and I'd hear it on the radio sometimes.",extremely,extremely,a little,not at all,somewhat,somewhat,not at all,not at all,very,somewhat,extremely,very
87,2019_4,30,31,"not really, just been listening to it nonstop since it first came out.",I really liked the song for a while when I was like 31 and then stopped listening to it mostly last year.,completely spontaneous,completely deliberate,TRUE,TRUE,My ex was driving home from Stop & Shop and I played this song on my phone and was singing it because it's a really sexy song.,I was with my ex and son and driving to Fall River and I was singing this song.,somewhat positive,somewhat positive,somewhat,extremely,somewhat,very,I really love this song because it feels like a really sexually empowering feminist anthem.,It comes on the radio quite often and it's on a lot of my playlists.,extremely,extremely,not at all,not at all,love it!,love it!,very,very,not at all,very,extremely,extremely
88,2008_2,11,NA,11,n/a,completely spontaneous,NA,TRUE,FALSE,i was at the pool as a child and I heard this on the radio while i was running to the slide,NA,somewhat positive,NA,not at all,NA,a little,NA,heard on radio occasionally,never heard before,a little,not at all,not at all,NA,not at all,not at all,a little,NA,not at all,NA,somewhat,NA
88,2010_3,13,15,13-14,15-17,completely spontaneous,completely spontaneous,TRUE,TRUE,I was on my own listening to this in my room. I listened to it a lot.,"This song the stuff when I was in high school, but the memory that is most vivid is when i was listening to it while leaning on the school hanging out with friends before classes started. It felt chill",somewhat positive,neutral,a little,not at all,not at all,not at all,I listened to this a lot when it was popular.,"I liked it, my friends liked it, my family liked it, it was nobodys favorite song but it was played a lot",very,somewhat,not at all,not at all,a lot,somewhat,not at all,somewhat,a little,a little,somewhat,very
88,2011_1,13,NA,13-15,15-16,neither,NA,TRUE,FALSE,i was at home with my mother she liked to play this song a lot when she found it,NA,neutral,NA,not at all,NA,not at all,NA,heard it on the radio A LOT and my mother played it alot,heard it on the radio a lot when it came out,somewhat,somewhat,not at all,NA,a little,a little,a little,NA,not at all,NA,a little,NA
88,2011_4,16,NA,16,n/a,neither,NA,TRUE,FALSE,"was in highschool just listening to the song, nothing happened but i remember the moment",NA,neutral,NA,not at all,NA,not at all,NA,"played it occasionally, heard it occasionally",never heard before,a little,not at all,not at all,NA,somewhat,somewhat,a little,NA,not at all,NA,not at all,NA
