participant,welcome.started,welcome_text.started,space_to_continue.started,welcome.stopped,space_to_continue.rt,expStart,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.rt,calibration.started,calibration.stopped,move_on.rt,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.rt,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.rt,instructions.started,instructions.stopped,next.rt,practice_task.started,practice_task.stopped,ready.started,ready.stopped,key_resp.rt,set_group.started,set_group.stopped,task.started,task.stopped,short_break.started,short_break.stopped,space_to_move_on.rt,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.rt,goodbye.started,goodbye.stopped,text_4.started,cal_ready.started,calib_instructions.started
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.2913,347.8738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.8781,354.5497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354.5503,360.8083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360.811,367.1413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367.1427,373.2745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373.2758,380.0336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380.0355,386.2543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.256,395.3417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395.3433,405.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405.3645,412.0461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412.0484,419.9285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419.9291,438.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438.3433,445.1023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445.1031,451.3959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451.3983,457.6233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457.6242,465.3974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465.3994,471.4954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471.4972,477.8723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,477.8731,484.7651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484.7672,491.5394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.5417,498.2341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498.23630000000003,506.5729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506.5736,514.3875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514.3892,715.8484,201.4327,715.8488,794.7391,78.8577,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,794.7603,801.8529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801.8559,808.0864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
