song_id,mean_valence,sd_valence,mean_arousal,sd_arousal
AChangeIsGonnaCome_SamCooke_Cover5S,0.03393016183673469,0.14560670439090936,0.06790388732653062,0.15646708562987488
AChangeIsGonnaCome_SamCooke_Original5S,0.034973499346938774,0.1672194381632797,-0.13865590318367346,0.11472525570130333
AnotherOneBitesTheDust_Queen_Cover5S,-0.06107175495326531,0.1477160579576795,-0.0976238176122449,0.13289455237927195
AnotherOneBitesTheDust_Queen_Original5S,-4.1282844897958594e-4,0.2027973042799456,0.09440857446938776,0.13269115847908175
BadDay_DanielPowter_Cover5S,-0.08768660232653061,0.18969776321529272,-0.2079854586122449,0.08145348315369624
BadDay_DanielPowter_Original5S,-0.06946835441666667,0.1728122480975283,-0.12915761602083334,0.12455544285093144
BetteDavisEyes_KimCarnes_Cover5S,-0.0016879004999999967,0.15000435561574382,-0.10736272304166666,0.14385378012911834
BetteDavisEyes_KimCarnes_Original5S,0.009028006387755102,0.1849625895472239,-0.04897117118367348,0.15089391545608422
BlindingLights_TheWeeknd_Cover5S,0.09483483714285713,0.14572046008443254,0.06927557712244897,0.14164180008841237
BlindingLights_TheWeeknd_Original5S,0.11200139987499999,0.16462686406543048,0.1672893593125,0.11764994347870786
BlurredLines_RobinThicke_Cover5S,0.140282257122449,0.1342554223104007,0.11434218065306123,0.14721734389749577
BlurredLines_RobinThicke_Original5S,0.12367167840816326,0.17727968074455666,0.17587683020408162,0.1281491022858966
BohemianRhapsody_Queen_Cover5S,-0.04862404602040817,0.1567445566898726,0.08164608453061224,0.1463232163220274
BohemianRhapsody_Queen_Original5S,-0.13638400625,0.1473813374183958,0.050295713666666665,0.16942588380525886
BridgeOverTroubledWater_SimonAndGarfunkel_Cover5S,-0.03937930897959183,0.17217021422240877,-0.12715686636734694,0.12111610607551641
BridgeOverTroubledWater_SimonAndGarfunkel_Original5S,-0.074313859625,0.19574893365404872,-0.16058200183333335,0.12332750744034614
ComeAndGetYourLove_Redbone_Cover5S,-0.00934120695918367,0.14300507856155528,0.1175602301632653,0.11094637390734818
ComeAndGetYourLove_Redbone_Original5S,0.1758807767142857,0.1312323579895911,0.10184559034693877,0.14584816561738326
CrazyInLove_BeyonceFtJayZ_Cover5S,0.020594589020408165,0.17772010096146876,-0.008500944918367353,0.16273744698831413
CrazyInLove_BeyonceFtJayZ_Original5S,0.11503567246938776,0.1642819913878669,0.1914249643265306,0.11107110588955743
Despacito_LuisFonsiDaddyYankee_Cover5S,0.08792650924489796,0.14443620667638218,-0.007552779551020407,0.16051056811003062
Despacito_LuisFonsiDaddyYankee_Original5S,0.11603641781632654,0.14490585271896356,0.10351717934693878,0.15868574027841795
Dilemma_NellyKellyRowland_Cover5S,0.05009088887755102,0.1629975583201746,-0.07403503657142857,0.13957693091801582
