participant,song_id,x,y,rt
519625,CrazyInLove_BeyonceFtJayZ_Original5S,-0.121649437,0.153350515,0.9491
519625,IWantToHoldYourHand_TheBeatles_Cover5S,0.135051531,0.106958763,0.0842
519625,TheBoyIsMine_BrandyMonica_Cover5S,0.135051531,0.106958763,0.8504
519625,FlashdanceWhatAFeeling_IreneCara_Cover5S,0.184536098,0.027577312,1.0491
519625,Perfect_EdSheeran_Original5S,0.111340238,0.069845337,0.1888
519625,LikeARollingStone_BobDylan_Cover5S,0.181443283,0.018298945,2.2441
519625,PartyRockAnthem_LMFAO_Cover5S,0.188659825,0.203865936,1.7143
519625,GimmeShelter_RollingStones_Cover5S,0.134020619,0.106958763,7.5112
519625,Smooth_SantanaRobThomas_Cover5S,0.120618604,0.049226781,1.2657
519625,YouLightUpMyLife_DebbyBoone_Cover5S,0.184536098,0.082216479,1.0989
519625,JoyToTheWorld_ThreeDogNight_Cover5S,0.184536098,0.082216479,0.1581
519625,BridgeOverTroubledWater_SimonAndGarfunkel_Cover5S,0.184536098,0.082216479,0.4987
519625,ItsAllInTheGame_TommyEdwards_Original5S,0.184536098,0.082216479,0.7086
519625,TheSign_AceOfBase_Original5S,0.086597954,0.092525757,0.1193
519625,Happy_PharellWilliams_Cover5S,0.055670119,0.069845337,0.843
519625,TossinAndTurnin_BobbyLewis_Cover5S,-0.054639128,0.036855678,1.0322
519625,BlurredLines_RobinThicke_Original5S,-0.186597922,0.100773172,0.1484
519625,SomebodyThatIUsedtoKnow_Gotye_Cover5S,-0.157731912,-0.017783529,0.2561
519625,IWalkTheLine_JohnnyCash_Cover5S,-0.064948406,-0.178608295,0.7932
519625,Dreams_FleetwoodMac_Cover5S,0.218556748,-0.185824758,0.7554
519625,EyeOfTheTiger_Survivor_Original5S,0.201030928,0.089432982,0.9058
519625,Weak_SWV_Original5S,0.203092831,-0.146649508,0.3937
519625,UnbreakMyHeart_ToniBraxton_Cover5S,-0.110309247,0.071907201,0.2759
519625,IWannaDanceWithSomebody_WhitneyHouston_Cover5S,0.210309294,-0.039432998,5.6775
519625,LeFreak_Chic_Original5S,0.120618604,-0.090979468,0.9994
519625,IllMakeLoveToYou_BoyzIIMen_Original5S,0.109278335,0.012113394,0.7126
519625,SaveYourTears_TheWeekndArianaGrande_Original5S,0.109278335,-0.095103116,1.1789
519625,MackTheKnife_BobbyDarin_Original5S,0.109278335,-0.095103116,2.8475
519625,Irreplaceable_Beyonce_Original5S,-0.121649437,0.155412379,0.527
519625,EndlessLove_DianaRossLionelRichie_Original5S,0.197938192,-0.222938144,0.8822
519625,TikTok_Kesha_Original5S,-0.095876241,0.091494845,0.6634
519625,LetsGetItOn_MarvinGaye_Original5S,-0.128865979,0.101804124,0.6593
519625,GodOnlyKnows_TheBeachBoys_Original5S,0.127835067,0.090463894,0.8993
519625,Despacito_LuisFonsiDaddyYankee_Original5S,0.216494845,0.346133999,0.4583
519625,BlindingLights_TheWeeknd_Cover5S,0.234020666,-0.116752664,1.5599
519625,BadDay_DanielPowter_Original5S,NA,NA,NA
519625,RockWithYou_MichaelJackson_Cover5S,0.214433021,0.061597922,0.6017
519625,IWillAlwaysLoveYou_WhitneyHouston_Original5S,0.113402062,0.209020575,0.3846
519625,StayinAlive_BeeGees_Cover5S,0.113402062,0.209020575,1.1675
519625,OldTownRoad_LilNasX_Cover5S,-0.206185567,0.185309282,0.849
519625,UptownFunk_MarkRonson_Cover5S,-0.163917542,0.065721649,0.0768
519625,GoodGollyMissMolly_LittleRichard_Original5S,-0.362886606,0.394587625,9.2658
519625,Superstition_StevieWonder_Original5S,-0.037113386,0.103865987,0.1263
519625,StrawberryFieldsForever_TheBeatles_Cover5S,0.196907201,0.159536067,1.4817
519625,MyGirl_TheTemptations_Cover5S,0.267010325,-0.2033505,0.3519
519625,GetUrFreakOn_MissyElliot_Cover5S,0.259793862,0.165721657,2.1149
519625,BohemianRhapsody_Queen_Cover5S,0.131958794,-0.155927835,1.4153
519625,AnotherOneBitesTheDust_Queen_Cover5S,0.242268041,-0.082731974,1.6854
519625,AChangeIsGonnaCome_SamCooke_Original5S,0.250515495,0.086340206,0.7517
519625,ShapeofYou_EdSheeran_Cover5S,0.265979413,0.124484544,0.0144
519625,HeatWaves_GlassAnimals_Cover5S,0.275257779,0.109020626,1.4555
519625,Respect_ArethaFranklin_Cover5S,-0.11237115,0.084278343,0.2194
519625,LivinOnAPrayer_BonJovi_Original5S,-0.119587613,0.119329905,0.6894
519625,Levitating_DuaLipa_Original5S,0.291752609,0.202835044,1.2989
519625,Stronger_KanyeWest_Cover5S,-0.079381412,0.098711348,0.2379
519625,StandByMe_BenEKing_Original5S,0.196907201,0.144072149,0.2331
519625,Mood_24kGoldnianndior_Original5S,-0.119587613,0.123453593,0.6808
519625,NoScrubs_TLC_Cover5S,0.273195876,-0.270360809,1.0307
519625,HeyYa_Outkast_Original5S,0.167010356,0.036855678,1.1186
519625,Fallin_AliciaKeys_Cover5S,0.183505186,0.172938101,2.3136
519625,LikeAPrayer_Madonna_Cover5S,0.237113402,-0.241494877,0.7573
519625,NoOne_AliciaKeys_Original5S,0.277319603,0.13067009500000001,2.2519
519625,PokerFace_LadyGaga_Cover5S,-0.01134019,0.151288652,0.4602
519625,ComeAndGetYourLove_Redbone_Cover5S,-0.01134019,0.151288652,1.1428
519625,TheBattleOfNewOrleans_JohnnyHorton_Original5S,0.230927851,-0.17551548,2.0722
798641,YouLightUpMyLife_DebbyBoone_Original5S,0.150925954,-0.116666667,0.7994
798641,TheBoyIsMine_BrandyMonica_Original5S,-0.190740712,0.226851845,2.2838
798641,Perfect_EdSheeran_Cover5S,0.182407464,-0.177777778,0.735
798641,PartyRockAnthem_LMFAO_Original5S,0.215740797,0.251851845,0.3019
798641,EndlessLove_DianaRossLionelRichie_Cover5S,0.076851908,-0.1,0.3647
798641,LeFreak_Chic_Cover5S,-0.222222222,0.198148134,1.783
798641,MackTheKnife_BobbyDarin_Cover5S,-0.222222222,0.198148134,0.631
798641,BridgeOverTroubledWater_SimonAndGarfunkel_Original5S,-0.163888889,-0.158333333,0.4174
798641,BlurredLines_RobinThicke_Cover5S,0.152777778,0.121296268,0.381
798641,Weak_SWV_Cover5S,0.086111111,-0.15648151,0.3856
798641,ItsAllInTheGame_TommyEdwards_Cover5S,-0.139814758,-0.116666667,0.5807
798641,IWannaDanceWithSomebody_WhitneyHouston_Original5S,0.178703732,0.162037023,0.1332
798641,Happy_PharellWilliams_Original5S,0.178703732,0.162037023,0.3502
798641,IllMakeLoveToYou_BoyzIIMen_Cover5S,0.161111111,-0.232407464,0.4166
798641,SaveYourTears_TheWeekndArianaGrande_Cover5S,-0.294444444,-0.123148176,0.7498
798641,TheSign_AceOfBase_Cover5S,-0.147222222,0.200925912,2.1662
798641,IWalkTheLine_JohnnyCash_Original5S,-0.137962935,-0.140740755,0.4625
798641,Dreams_FleetwoodMac_Original5S,0.137037065,-0.144444444,0.3675
798641,IWantToHoldYourHand_TheBeatles_Original5S,0.18148151,0.10370369,0.3408
798641,EyeOfTheTiger_Survivor_Cover5S,0.188888889,0.105555556,1.8583
798641,LikeARollingStone_BobDylan_Original5S,0.127777778,-0.227777778,0.6134
798641,GimmeShelter_RollingStones_Original5S,0.196296353,0.067592578,0.3686
798641,SmellsLikeTeenSpirit_Nirvana_Original5S,-0.188888889,0.166666667,0.5334
798641,Smooth_SantanaRobThomas_Original5S,0.178703732,0.142592578,0.352
798641,Kiss_Prince_Cover5S,0.174074131,-0.119444444,0.4648
798641,SomebodyThatIUsedtoKnow_Gotye_Original5S,-0.222222222,-0.154629644,0.3683
798641,TossinAndTurnin_BobbyLewis_Original5S,0.177777778,0.181481467,0.461
